transcriptID_trim,log2FoldChange
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,3.77744200313782
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i18,3.76042467475333
TRINITY_DN9365_c0_g1::TRINITY_DN9365_c0_g1_i1,3.65426348782188
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i18,3.76324789476577
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i13,3.3372542106015
TRINITY_DN10209_c0_g2::TRINITY_DN10209_c0_g2_i3,3.03616948686861
TRINITY_DN13966_c0_g1::TRINITY_DN13966_c0_g1_i1,2.67882598732021
TRINITY_DN30_c0_g3::TRINITY_DN30_c0_g3_i1,2.05903126212837
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i1,2.57951701504334
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i1,3.99876647792389
TRINITY_DN8164_c0_g1::TRINITY_DN8164_c0_g1_i13,1.83928438633837
TRINITY_DN9607_c1_g1::TRINITY_DN9607_c1_g1_i1,3.07094904443382
TRINITY_DN2173_c0_g1::TRINITY_DN2173_c0_g1_i2,2.85491534117249
TRINITY_DN3821_c0_g1::TRINITY_DN3821_c0_g1_i2,2.57722932309206
TRINITY_DN4770_c0_g1::TRINITY_DN4770_c0_g1_i1,2.74941841177194
TRINITY_DN159_c0_g5::TRINITY_DN159_c0_g5_i1,3.08497911773584
TRINITY_DN4857_c0_g1::TRINITY_DN4857_c0_g1_i1,2.28197850247278
TRINITY_DN4770_c0_g1::TRINITY_DN4770_c0_g1_i1,3.40840363256181
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i2,3.09500026421325
TRINITY_DN638_c0_g1::TRINITY_DN638_c0_g1_i10,2.57307543137986
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i10,2.10073240723505
TRINITY_DN638_c0_g1::TRINITY_DN638_c0_g1_i16,2.57307543137986
TRINITY_DN7057_c0_g2::TRINITY_DN7057_c0_g2_i2,2.8796377321257
TRINITY_DN4518_c0_g1::TRINITY_DN4518_c0_g1_i1,3.15273564609679
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i10,2.27791096955304
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i8,2.39724642880162
TRINITY_DN33_c0_g1::TRINITY_DN33_c0_g1_i22,2.18643040768731
TRINITY_DN1446_c0_g1::TRINITY_DN1446_c0_g1_i21,4.11203178123456
TRINITY_DN4432_c0_g1::TRINITY_DN4432_c0_g1_i6,3.87150118079781
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i7,2.6942220006749
TRINITY_DN301_c2_g1::TRINITY_DN301_c2_g1_i1,1.94702440310139
TRINITY_DN5480_c0_g1::TRINITY_DN5480_c0_g1_i2,2.77288496009364
TRINITY_DN301_c0_g1::TRINITY_DN301_c0_g1_i2,3.08804310415665
TRINITY_DN13966_c0_g1::TRINITY_DN13966_c0_g1_i1,2.83291441996784
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i2,2.26358156144263
TRINITY_DN30_c0_g1::TRINITY_DN30_c0_g1_i1,2.43953320310917
TRINITY_DN8509_c0_g1::TRINITY_DN8509_c0_g1_i1,2.0598759520469
TRINITY_DN159_c0_g2::TRINITY_DN159_c0_g2_i2,2.62777041708369
TRINITY_DN16_c0_g1::TRINITY_DN16_c0_g1_i1,1.88790326671539
TRINITY_DN4518_c0_g1::TRINITY_DN4518_c0_g1_i1,2.97816528896063
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i15,2.18722280788308
TRINITY_DN12866_c0_g1::TRINITY_DN12866_c0_g1_i1,3.06151903529249
TRINITY_DN140_c0_g3::TRINITY_DN140_c0_g3_i1,2.46511889406413
TRINITY_DN6070_c1_g1::TRINITY_DN6070_c1_g1_i4,2.65713921404586
TRINITY_DN3_c0_g1::TRINITY_DN3_c0_g1_i7,3.58760587743364
TRINITY_DN134_c0_g1::TRINITY_DN134_c0_g1_i6,3.01049327883296
TRINITY_DN16170_c0_g1::TRINITY_DN16170_c0_g1_i1,2.88773098831027
TRINITY_DN16170_c0_g1::TRINITY_DN16170_c0_g1_i1,2.88836494173185
TRINITY_DN7378_c0_g1::TRINITY_DN7378_c0_g1_i1,3.16852378968074
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i1,3.15530864803407
TRINITY_DN2693_c0_g1::TRINITY_DN2693_c0_g1_i4,2.57784682831223
TRINITY_DN6586_c0_g1::TRINITY_DN6586_c0_g1_i2,-1.51555545408837
TRINITY_DN6345_c0_g1::TRINITY_DN6345_c0_g1_i15,2.83865604752317
TRINITY_DN6345_c0_g1::TRINITY_DN6345_c0_g1_i17,2.83865604752317
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i13,3.29240730486129
TRINITY_DN210_c0_g1::TRINITY_DN210_c0_g1_i2,2.02821368818824
TRINITY_DN740_c0_g1::TRINITY_DN740_c0_g1_i9,2.53165814844359
TRINITY_DN577_c0_g2::TRINITY_DN577_c0_g2_i1,2.92792045792228
TRINITY_DN4027_c0_g1::TRINITY_DN4027_c0_g1_i13,2.32706037917605
TRINITY_DN204_c0_g1::TRINITY_DN204_c0_g1_i1,2.45833899820735
TRINITY_DN1306_c0_g1::TRINITY_DN1306_c0_g1_i3,2.70258559759058
TRINITY_DN1864_c1_g2::TRINITY_DN1864_c1_g2_i1,2.1728636088618
TRINITY_DN210_c0_g1::TRINITY_DN210_c0_g1_i2,2.13907523746397
TRINITY_DN62_c0_g1::TRINITY_DN62_c0_g1_i11,2.07315941800184
TRINITY_DN8896_c0_g1::TRINITY_DN8896_c0_g1_i10,2.585932584823
TRINITY_DN9169_c0_g1::TRINITY_DN9169_c0_g1_i20,1.10097788257313
TRINITY_DN1187_c0_g1::TRINITY_DN1187_c0_g1_i12,2.38787464124547
TRINITY_DN9353_c0_g1::TRINITY_DN9353_c0_g1_i10,2.00988030020001
TRINITY_DN6927_c0_g1::TRINITY_DN6927_c0_g1_i9,1.5876510751283
TRINITY_DN258_c0_g1::TRINITY_DN258_c0_g1_i14,2.02275369842908
TRINITY_DN9079_c0_g1::TRINITY_DN9079_c0_g1_i2,1.99992094089517
TRINITY_DN30_c0_g2::TRINITY_DN30_c0_g2_i3,2.58290688978481
TRINITY_DN585_c0_g1::TRINITY_DN585_c0_g1_i8,2.33277770293838
TRINITY_DN16_c0_g1::TRINITY_DN16_c0_g1_i3,3.51057881337144
TRINITY_DN6249_c0_g1::TRINITY_DN6249_c0_g1_i12,2.44992033984432
TRINITY_DN12651_c0_g1::TRINITY_DN12651_c0_g1_i1,2.50998326455638
TRINITY_DN1670_c0_g1::TRINITY_DN1670_c0_g1_i6,3.08858660497747
TRINITY_DN9827_c0_g1::TRINITY_DN9827_c0_g1_i1,1.57460661432247
TRINITY_DN140_c0_g2::TRINITY_DN140_c0_g2_i5,2.6435163701505
TRINITY_DN301_c0_g2::TRINITY_DN301_c0_g2_i7,2.8804555839979
TRINITY_DN7797_c0_g1::TRINITY_DN7797_c0_g1_i5,2.19793647820473
TRINITY_DN19223_c0_g1::TRINITY_DN19223_c0_g1_i10,2.76762255907968
TRINITY_DN2696_c0_g1::TRINITY_DN2696_c0_g1_i2,1.54894424456513
TRINITY_DN14621_c0_g1::TRINITY_DN14621_c0_g1_i6,2.43350645880582
TRINITY_DN4361_c0_g1::TRINITY_DN4361_c0_g1_i3,2.08738347888373
TRINITY_DN3821_c0_g3::TRINITY_DN3821_c0_g3_i1,2.67613048291912
TRINITY_DN6866_c0_g1::TRINITY_DN6866_c0_g1_i1,1.94456291775118
TRINITY_DN15819_c0_g1::TRINITY_DN15819_c0_g1_i11,1.23819847324718
TRINITY_DN140_c0_g3::TRINITY_DN140_c0_g3_i1,2.63069099209313
